108960,51,תל אביב ,5000,תל אביב - יפו ,101 ,רדינג ,official ,101
109016,51,תל אביב ,5000,תל אביב - יפו ,119 ,פטאי יוסף ,official ,119
109017,51,תל אביב ,5000,תל אביב - יפו ,9560 ,פטאי ,synonym of 119 ,119
109018,51,תל אביב ,5000,תל אביב - יפו ,9561 ,פטא יוסף ,synonym of 119 ,119
109019,51,תל אביב ,5000,תל אביב - יפו ,9562 ,פתאי ,synonym of 119 ,119
109020,51,תל אביב ,5000,תל אביב - יפו ,9563 ,יוסף פטאי ,synonym of 119 ,119
109021,51,תל אביב ,5000,תל אביב - יפו ,120 ,טורטשינר ,official ,120
109022,51,תל אביב ,5000,תל אביב - יפו ,9564 ,טורשינר ,synonym of 120 ,120
109023,51,תל אביב ,5000,תל אביב - יפו ,121 ,צמחי היהודים ,official ,121
109024,51,תל אביב ,5000,תל אביב - יפו ,9565 ,צמחי יהודי ,synonym of 121 ,121
109025,51,תל אביב ,5000,תל אביב - יפו ,122 ,קרויס ,official ,122
109026,51,תל אביב ,5000,תל אביב - יפו ,123 ,ברודי ,official ,123
109027,51,תל אביב ,5000,תל אביב - יפו ,9566 ,ברודי חיים ,synonym of 123 ,123
109028,51,תל אביב ,5000,תל אביב - יפו ,9567 ,חיים ברודי ,synonym of 123 ,123
109029,51,תל אביב ,5000,תל אביב - יפו ,124 ,הופיין ,official ,124
109030,51,תל אביב ,5000,תל אביב - יפו ,9568 ,הופין ,synonym of 124 ,124
109031,51,תל אביב ,5000,תל אביב - יפו ,125 ,בארט ,official ,125
109032,51,תל אביב ,5000,תל אביב - יפו ,9569 ,ברט ,synonym of 125 ,125
109033,51,תל אביב ,5000,תל אביב - יפו ,9570 ,בארט אהרון ,synonym of 125 ,125
109034,51,תל אביב ,5000,תל אביב - יפו ,9571 ,אהרון בארט ,synonym of 125 ,125
109035,51,תל אביב ,5000,תל אביב - יפו ,126 ,אינשטיין ,official ,126
109036,51,תל אביב ,5000,תל אביב - יפו ,9572 ,איינשטיין ,synonym of 126 ,126
109037,51,תל אביב ,5000,תל אביב - יפו ,9573 ,איינשטין ,synonym of 126 ,126
109038,51,תל אביב ,5000,תל אביב - יפו ,9574 ,אינשטין ,synonym of 126 ,126
109039,51,תל אביב ,5000,תל אביב - יפו ,128 ,חיש ,official ,128
109040,51,תל אביב ,5000,תל אביב - יפו ,9575 ,חיש ,synonym of 128 ,128
109041,51,תל אביב ,5000,תל אביב - יפו ,9576 ,החיש ,synonym of 128 ,128
109042,51,תל אביב ,5000,תל אביב - יפו ,129 ,עוזי חיטמן ,official ,129
109043,51,תל אביב ,5000,תל אביב - יפו ,9577 ,חיטמן עוזי ,synonym of 129 ,129
109044,51,תל אביב ,5000,תל אביב - יפו ,130 ,המשמר האזרחי ,official ,130
109045,51,תל אביב ,5000,תל אביב - יפו ,9578 ,משמר אזרחי ,synonym of 130 ,130
109046,51,תל אביב ,5000,תל אביב - יפו ,131 ,הנוטר ,official ,131
109047,51,תל אביב ,5000,תל אביב - יפו ,132 ,המתנדב ,official ,132
109048,51,תל אביב ,5000,תל אביב - יפו ,133 ,אפקים ,official ,133
109049,51,תל אביב ,5000,תל אביב - יפו ,9579 ,אופקים ,synonym of 133 ,133
109050,51,תל אביב ,5000,תל אביב - יפו ,134 ,חיל המשמר ,official ,134
109051,51,תל אביב ,5000,תל אביב - יפו ,9580 ,החים ,synonym of 134 ,134
109052,51,תל אביב ,5000,תל אביב - יפו ,9581 ,החים ,synonym of 134 ,134
109053,51,תל אביב ,5000,תל אביב - יפו ,9582 ,חים ,synonym of 134 ,134
109054,51,תל אביב ,5000,תל אביב - יפו ,9583 ,חימ ,synonym of 134 ,134
109055,51,תל אביב ,5000,תל אביב - יפו ,9584 ,חיל משמר ,synonym of 134 ,134
109056,51,תל אביב ,5000,תל אביב - יפו ,9585 ,חים ,synonym of 134 ,134
109057,51,תל אביב ,5000,תל אביב - יפו ,135 ,מגשימים ,official ,135
109058,51,תל אביב ,5000,תל אביב - יפו ,9586 ,המגשמים ,synonym of 135 ,135
109059,51,תל אביב ,5000,תל אביב - יפו ,9587 ,המגשימים ,synonym of 135 ,135
109060,51,תל אביב ,5000,תל אביב - יפו ,136 ,עלומים ,official ,136
109061,51,תל אביב ,5000,תל אביב - יפו ,9588 ,עלומה ,synonym of 136 ,136
109062,51,תל אביב ,5000,תל אביב - יפו ,137 ,מרדכי )מוטה( גור ,official ,137
109063,51,תל אביב ,5000,תל אביב - יפו ,9589 ,משמרת ,synonym of 137 ,137
109064,51,תל אביב ,5000,תל אביב - יפו ,9590 ,מוטה גור ,synonym of 137 ,137
109065,51,תל אביב ,5000,תל אביב - יפו ,9591 ,מרדכי גור ,synonym of 137 ,137
109066,51,תל אביב ,5000,תל אביב - יפו ,9592 ,גור מרדכי ,synonym of 137 ,137
109067,51,תל אביב ,5000,תל אביב - יפו ,138 ,מבטחים ,official ,138
109068,51,תל אביב ,5000,תל אביב - יפו ,139 ,שפיה ,official ,139
109069,51,תל אביב ,5000,תל אביב - יפו ,140 ,קוממיות ,official ,140
109070,51,תל אביב ,5000,תל אביב - יפו ,141 ,ברקאי שמואל ,official ,141
109071,51,תל אביב ,5000,תל אביב - יפו ,9593 ,שרשרת ,synonym of 141 ,141
109072,51,תל אביב ,5000,תל אביב - יפו ,9594 ,שמואל ברקאי ,synonym of 141 ,141
109073,51,תל אביב ,5000,תל אביב - יפו ,9595 ,ברקאי ,synonym of 141 ,141
109074,51,תל אביב ,5000,תל אביב - יפו ,9596 ,השרשרת ,synonym of 141 ,141
109075,51,תל אביב ,5000,תל אביב - יפו ,142 ,שמיר ,official ,142
109076,51,תל אביב ,5000,תל אביב - יפו ,143 ,ארזי יהודה ,official ,143
109077,51,תל אביב ,5000,תל אביב - יפו ,9597 ,תלמים ,synonym of 143 ,143
109078,51,תל אביב ,5000,תל אביב - יפו ,9598 ,ארזי ,synonym of 143 ,143
109079,51,תל אביב ,5000,תל אביב - יפו ,144 ,פרויד ,official ,144
109080,51,תל אביב ,5000,תל אביב - יפו ,145 ,קלוזנר ,official ,145
109081,51,תל אביב ,5000,תל אביב - יפו ,9599 ,ככר חבקין ,synonym of 145 ,145
109082,51,תל אביב ,5000,תל אביב - יפו ,9600 ,יוסף קלוזנר ,synonym of 145 ,145
109083,51,תל אביב ,5000,תל אביב - יפו ,146 ,שבט ראובן ,official ,146
109084,51,תל אביב ,5000,תל אביב - יפו ,147 ,שבט גד ,official ,147
109085,51,תל אביב ,5000,תל אביב - יפו ,9601 ,שבט גד ב זק ,synonym of 147 ,147
109086,51,תל אביב ,5000,תל אביב - יפו ,149 ,שבט בנימין ,official ,149
109087,51,תל אביב ,5000,תל אביב - יפו ,150 ,שבט שמעון ,official ,150
109088,51,תל אביב ,5000,תל אביב - יפו ,151 ,שבט לוי ,official ,151
109089,51,תל אביב ,5000,תל אביב - יפו ,9602 ,שבטי לוי ,synonym of 151 ,151
109090,51,תל אביב ,5000,תל אביב - יפו ,152 ,שבט יששכר ,official ,152
109091,51,תל אביב ,5000,תל אביב - יפו ,153 ,שבט יהודה ,official ,153
109092,51,תל אביב ,5000,תל אביב - יפו ,154 ,שבט זבולון ,official ,154
109093,51,תל אביב ,5000,תל אביב - יפו ,156 ,שבט דן ,official ,156
109094,51,תל אביב ,5000,תל אביב - יפו ,157 ,שבט אשר ,official ,157
109095,51,תל אביב ,5000,תל אביב - יפו ,9603 ,שבת אשר ,synonym of 157 ,157
109096,51,תל אביב ,5000,תל אביב - יפו ,158 ,שבט יוסף ,official ,158
109097,51,תל אביב ,5000,תל אביב - יפו ,159 ,משל ירוחם ,official ,159
109098,51,תל אביב ,5000,תל אביב - יפו ,9604 ,רח 2224 ,synonym of 159 ,159
109099,51,תל אביב ,5000,תל אביב - יפו ,9605 ,ירוחם משל ,synonym of 159 ,159
109100,51,תל אביב ,5000,תל אביב - יפו ,160 ,ברלינר ,official ,160
109101,51,תל אביב ,5000,תל אביב - יפו ,9606 ,ר אביב ברלינ ,synonym of 160 ,160
109102,51,תל אביב ,5000,תל אביב - יפו ,161 ,שי ,official ,161
109103,51,תל אביב ,5000,תל אביב - יפו ,9607 ,שי ,synonym of 161 ,161
109104,51,תל אביב ,5000,תל אביב - יפו ,162 ,פראנקל ,official ,162
109105,51,תל אביב ,5000,תל אביב - יפו ,9608 ,שביל פראנקל ,synonym of 162 ,162
109106,51,תל אביב ,5000,תל אביב - יפו ,9609 ,פרנקל ,synonym of 162 ,162
109107,51,תל אביב ,5000,תל אביב - יפו ,163 ,מרים בן פורת ,official ,163
109108,51,תל אביב ,5000,תל אביב - יפו ,9610 ,בן פורת מרים ,synonym of 163 ,163
109109,51,תל אביב ,5000,תל אביב - יפו ,164 ,מרים ילן שטקליס ,official ,164
109110,51,תל אביב ,5000,תל אביב - יפו ,9611 ,ילן שטקליס מרים ,synonym of 164 ,164
109111,51,תל אביב ,5000,תל אביב - יפו ,165 ,התנאים ,official ,165
109112,51,תל אביב ,5000,תל אביב - יפו ,166 ,הסבוראים ,official ,166
109113,51,תל אביב ,5000,תל אביב - יפו ,9612 ,בית שערים ,synonym of 166 ,166
109114,51,תל אביב ,5000,תל אביב - יפו ,9613 ,רח 2147 ,synonym of 166 ,166
109115,51,תל אביב ,5000,תל אביב - יפו ,167 ,האמוראים ,official ,167
109116,51,תל אביב ,5000,תל אביב - יפו ,168 ,קרית שאול ,official ,168
109117,51,תל אביב ,5000,תל אביב - יפו ,9614 ,ק שאול משתל ,synonym of 168 ,168
109118,51,תל אביב ,5000,תל אביב - יפו ,169 ,רודנסקי שמואל ,official ,169
109119,51,תל אביב ,5000,תל אביב - יפו ,9615 ,שמואל רודנסקי ,synonym of 169 ,169
109120,51,תל אביב ,5000,תל אביב - יפו ,9616 ,רודנסקי ,synonym of 169 ,169
109121,51,תל אביב ,5000,תל אביב - יפו ,171 ,קלצ'קין ,official ,171
109122,51,תל אביב ,5000,תל אביב - יפו ,9617 ,קלצקין ,synonym of 171 ,171
109123,51,תל אביב ,5000,תל אביב - יפו ,172 ,שד' אבנר מאיר ,official ,172
109124,51,תל אביב ,5000,תל אביב - יפו ,9618 ,מאיר אבנר ,synonym of 172 ,172
109125,51,תל אביב ,5000,תל אביב - יפו ,9619 ,שדרות אבנר מאיר ,synonym of 172 ,172
109126,51,תל אביב ,5000,תל אביב - יפו ,9620 ,אבנר מאיר שד ,synonym of 172 ,172
109127,51,תל אביב ,5000,תל אביב - יפו ,9621 ,אבנר מאיר ,synonym of 172 ,172
109128,51,תל אביב ,5000,תל אביב - יפו ,9622 ,אבנר מאיר שדרות ,synonym of 172 ,172
109129,51,תל אביב ,5000,תל אביב - יפו ,9623 ,שד אבנר מאיר ,synonym of 172 ,172
109130,51,תל אביב ,5000,תל אביב - יפו ,173 ,קרן היסוד ,official ,173
109131,51,תל אביב ,5000,תל אביב - יפו ,174 ,טאגור רבינדרנארט ,official ,174
109132,51,תל אביב ,5000,תל אביב - יפו ,9624 ,בית מילמן ,synonym of 174 ,174
109133,51,תל אביב ,5000,תל אביב - יפו ,9625 ,מילמן מעון ,synonym of 174 ,174
109134,51,תל אביב ,5000,תל אביב - יפו ,9626 ,בית מילמן מעון ,synonym of 174 ,174
109135,51,תל אביב ,5000,תל אביב - יפו ,9627 ,טאגורי ,synonym of 174 ,174
109136,51,תל אביב ,5000,תל אביב - יפו ,9628 ,טאגור ,synonym of 174 ,174
109137,51,תל אביב ,5000,תל אביב - יפו ,9629 ,טאגור רבינדרנרט ,synonym of 174 ,174
109138,51,תל אביב ,5000,תל אביב - יפו ,9630 ,רבינדרנארט טאגור ,synonym of 174 ,174
109139,51,תל אביב ,5000,תל אביב - יפו ,9631 ,רבינדר טאגור ,synonym of 174 ,174
109140,51,תל אביב ,5000,תל אביב - יפו ,9632 ,טגור ,synonym of 174 ,174
109141,51,תל אביב ,5000,תל אביב - יפו ,9633 ,טאגר ,synonym of 174 ,174
109142,51,תל אביב ,5000,תל אביב - יפו ,9634 ,תאגור ,synonym of 174 ,174
109143,51,תל אביב ,5000,תל אביב - יפו ,175 ,אנדרסן ,official ,175
109144,51,תל אביב ,5000,תל אביב - יפו ,9635 ,הנס אנדרסון ,synonym of 175 ,175
109145,51,תל אביב ,5000,תל אביב - יפו ,9636 ,אנדרסון ,synonym of 175 ,175
109146,51,תל אביב ,5000,תל אביב - יפו ,176 ,פסטרנק אריה ,official ,176
109147,51,תל אביב ,5000,תל אביב - יפו ,9637 ,פסטרניק ,synonym of 176 ,176
109148,51,תל אביב ,5000,תל אביב - יפו ,9638 ,פסטרנאק ,synonym of 176 ,176
109149,51,תל אביב ,5000,תל אביב - יפו ,9639 ,אריה פסטרנק ,synonym of 176 ,176
109150,51,תל אביב ,5000,תל אביב - יפו ,9640 ,פסטרנך ,synonym of 176 ,176
109151,51,תל אביב ,5000,תל אביב - יפו ,9641 ,פסטרנק ,synonym of 176 ,176
109152,51,תל אביב ,5000,תל אביב - יפו ,9642 ,פסטרוק ,synonym of 176 ,176
109153,51,תל אביב ,5000,תל אביב - יפו ,177 ,ברגסון ,official ,177
109154,51,תל אביב ,5000,תל אביב - יפו ,9643 ,ברגלסון ,synonym of 177 ,177
109155,51,תל אביב ,5000,תל אביב - יפו ,178 ,מוריץ דניאל ,official ,178
109156,51,תל אביב ,5000,תל אביב - יפו ,9644 ,דניאל מוריץ ,synonym of 178 ,178
109157,51,תל אביב ,5000,תל אביב - יפו ,179 ,פיליכובסקי ,official ,179
109158,51,תל אביב ,5000,תל אביב - יפו ,9645 ,פוליכובסקי ,synonym of 179 ,179
109159,51,תל אביב ,5000,תל אביב - יפו ,9646 ,פיליחובסקי ,synonym of 179 ,179
109160,51,תל אביב ,5000,תל אביב - יפו ,9647 ,פליכובסקי ,synonym of 179 ,179
109161,51,תל אביב ,5000,תל אביב - יפו ,9648 ,פיליקובסקי ,synonym of 179 ,179
109162,51,תל אביב ,5000,תל אביב - יפו ,9649 ,פילכובסקי ,synonym of 179 ,179
109163,51,תל אביב ,5000,תל אביב - יפו ,180 ,שד' רוקח ,official ,180
109164,51,תל אביב ,5000,תל אביב - יפו ,9650 ,רוקח שדרות ,synonym of 180 ,180
109165,51,תל אביב ,5000,תל אביב - יפו ,9651 ,שדרות רוקח ,synonym of 180 ,180
109166,51,תל אביב ,5000,תל אביב - יפו ,9652 ,רוקח שד ,synonym of 180 ,180
109167,51,תל אביב ,5000,תל אביב - יפו ,9653 ,שד רוקח ,synonym of 180 ,180
109168,51,תל אביב ,5000,תל אביב - יפו ,181 ,יהודה הנשיא ,official ,181
109169,51,תל אביב ,5000,תל אביב - יפו ,182 ,לויטן יצחק ,official ,182
109170,51,תל אביב ,5000,תל אביב - יפו ,9654 ,לויטן ,synonym of 182 ,182
109171,51,תל אביב ,5000,תל אביב - יפו ,183 ,מניה וישראל ,official ,183
109172,51,תל אביב ,5000,תל אביב - יפו ,9655 ,רח 960 ,synonym of 183 ,183
109173,51,תל אביב ,5000,תל אביב - יפו ,9656 ,אפקה רח 960 ,synonym of 183 ,183
109174,51,תל אביב ,5000,תל אביב - יפו ,9657 ,מאניה וישראל ,synonym of 183 ,183
109175,51,תל אביב ,5000,תל אביב - יפו ,9658 ,שוחט ,synonym of 183 ,183
109176,51,תל אביב ,5000,תל אביב - יפו ,9659 ,מניה ישראל ,synonym of 183 ,183
109177,51,תל אביב ,5000,תל אביב - יפו ,184 ,הרכש ,official ,184
109178,51,תל אביב ,5000,תל אביב - יפו ,185 ,פרופס אהרון צבי ,official ,185
109179,51,תל אביב ,5000,תל אביב - יפו ,9660 ,פרופס אהרון ,synonym of 185 ,185
109180,51,תל אביב ,5000,תל אביב - יפו ,9661 ,פרופס ,synonym of 185 ,185
109181,51,תל אביב ,5000,תל אביב - יפו ,9662 ,פרופס צבי ,synonym of 185 ,185
109182,51,תל אביב ,5000,תל אביב - יפו ,186 ,יקותיאלי יוסף ,official ,186
109183,51,תל אביב ,5000,תל אביב - יפו ,9663 ,רח 2203 ,synonym of 186 ,186
109184,51,תל אביב ,5000,תל אביב - יפו ,9664 ,יוסף יקותיאלי ,synonym of 186 ,186
109185,51,תל אביב ,5000,תל אביב - יפו ,187 ,אושה ,official ,187
109186,51,תל אביב ,5000,תל אביב - יפו ,189 ,משמר הגבול ,official ,189
109187,51,תל אביב ,5000,תל אביב - יפו ,9665 ,משמר גבול ,synonym of 189 ,189
109188,51,תל אביב ,5000,תל אביב - יפו ,190 ,אופנהיימר ,official ,190
109189,51,תל אביב ,5000,תל אביב - יפו ,9666 ,אופנהימר ,synonym of 190 ,190
109190,51,תל אביב ,5000,תל אביב - יפו ,9667 ,אופנהיים ,synonym of 190 ,190
109191,51,תל אביב ,5000,תל אביב - יפו ,191 ,גייגר ,official ,191
109192,51,תל אביב ,5000,תל אביב - יפו ,192 ,רבינא ,official ,192
109193,51,תל אביב ,5000,תל אביב - יפו ,193 ,רב אשי ,official ,193
109194,51,תל אביב ,5000,תל אביב - יפו ,9668 ,הרב אשי ,synonym of 193 ,193
109195,51,תל אביב ,5000,תל אביב - יפו ,9669 ,אשי הרב ,synonym of 193 ,193
109196,51,תל אביב ,5000,תל אביב - יפו ,9670 ,אשי רב ,synonym of 193 ,193
109197,51,תל אביב ,5000,תל אביב - יפו ,194 ,ברזיל ,official ,194
109198,51,תל אביב ,5000,תל אביב - יפו ,9671 ,קניון רמת אביב ,synonym of 194 ,194
109199,51,תל אביב ,5000,תל אביב - יפו ,195 ,אפטר יעקב ,official ,195
109200,51,תל אביב ,5000,תל אביב - יפו ,9672 ,אפטר ,synonym of 195 ,195
109201,51,תל אביב ,5000,תל אביב - יפו ,9673 ,יעקב אפטר ,synonym of 195 ,195
109202,51,תל אביב ,5000,תל אביב - יפו ,196 ,בורלא יהודה ,official ,196
109203,51,תל אביב ,5000,תל אביב - יפו ,9674 ,יהודה בורלא ,synonym of 196 ,196
109204,51,תל אביב ,5000,תל אביב - יפו ,9675 ,רח 2136 ,synonym of 196 ,196
109205,51,תל אביב ,5000,תל אביב - יפו ,9676 ,רח 2116 ,synonym of 196 ,196
109206,51,תל אביב ,5000,תל אביב - יפו ,9677 ,שכון עובדי ל ,synonym of 196 ,196
109207,51,תל אביב ,5000,תל אביב - יפו ,9678 ,בורלא ,synonym of 196 ,196
109208,51,תל אביב ,5000,תל אביב - יפו ,9679 ,ש עוב תכנית ל ,synonym of 196 ,196
109209,51,תל אביב ,5000,תל אביב - יפו ,197 ,אשכול לוי ,official ,197
109210,51,תל אביב ,5000,תל אביב - יפו ,9680 ,ש גד תכנית ל ,synonym of 197 ,197
109211,51,תל אביב ,5000,תל אביב - יפו ,9681 ,לוי אשכול ,synonym of 197 ,197
109212,51,תל אביב ,5000,תל אביב - יפו ,9682 ,פאן לון למד ,synonym of 197 ,197
109213,51,תל אביב ,5000,תל אביב - יפו ,9683 ,אשכול ,synonym of 197 ,197
109214,51,תל אביב ,5000,תל אביב - יפו ,198 ,עגנון שי ,official ,198
109215,51,תל אביב ,5000,תל אביב - יפו ,9684 ,שי עגנון ,synonym of 198 ,198
109216,51,תל אביב ,5000,תל אביב - יפו ,9685 ,שי עגנון ,synonym of 198 ,198
109217,51,תל אביב ,5000,תל אביב - יפו ,9686 ,עגנון ,synonym of 198 ,198
109218,51,תל אביב ,5000,תל אביב - יפו ,9687 ,עגנון שי ,synonym of 198 ,198
109219,51,תל אביב ,5000,תל אביב - יפו ,199 ,למדן יצחק ,official ,199
109220,51,תל אביב ,5000,תל אביב - יפו ,9688 ,יצחק למדן ,synonym of 199 ,199
109221,51,תל אביב ,5000,תל אביב - יפו ,9689 ,למדן ,synonym of 199 ,199
109222,51,תל אביב ,5000,תל אביב - יפו ,200 ,קיציס יוסף ,official ,200
109223,51,תל אביב ,5000,תל אביב - יפו ,9690 ,יוסף קיציס ,synonym of 200 ,200
109224,51,תל אביב ,5000,תל אביב - יפו ,9691 ,קיציס ,synonym of 200 ,200
109225,51,תל אביב ,5000,תל אביב - יפו ,201 ,בן ישי ,official ,201
109226,51,תל אביב ,5000,תל אביב - יפו ,9692 ,בן ישי אהרן זאב ,synonym of 201 ,201
109227,51,תל אביב ,5000,תל אביב - יפו ,9693 ,בן ישי אהרון ,synonym of 201 ,201
109228,51,תל אביב ,5000,תל אביב - יפו ,202 ,קהילת סופיה ,official ,202
109229,51,תל אביב ,5000,תל אביב - יפו ,9694 ,קהלת סופיה ,synonym of 202 ,202
109230,51,תל אביב ,5000,תל אביב - יפו ,203 ,רוזאניס ,official ,203
109231,51,תל אביב ,5000,תל אביב - יפו ,204 ,מיזאן ,official ,204
109232,51,תל אביב ,5000,תל אביב - יפו ,205 ,רומנו ,official ,205
109233,51,תל אביב ,5000,תל אביב - יפו ,9695 ,מרדכי רומנו ,synonym of 205 ,205
109234,51,תל אביב ,5000,תל אביב - יפו ,9696 ,רומנו מרדכי ,synonym of 205 ,205
109235,51,תל אביב ,5000,תל אביב - יפו ,207 ,מנורה ,official ,207
109236,51,תל אביב ,5000,תל אביב - יפו ,208 ,גנתון ,official ,208
109237,51,תל אביב ,5000,תל אביב - יפו ,209 ,רוממה ,official ,209
109238,51,תל אביב ,5000,תל אביב - יפו ,9697 ,רוממה מורשת ,synonym of 209 ,209
109239,51,תל אביב ,5000,תל אביב - יפו ,9698 ,דבורזצקי ,synonym of 209 ,209
109240,51,תל אביב ,5000,תל אביב - יפו ,210 ,מורשת ,official ,210
109241,51,תל אביב ,5000,תל אביב - יפו ,9699 ,מורשה ,synonym of 210 ,210
109242,51,תל אביב ,5000,תל אביב - יפו ,211 ,יפעת ,official ,211
109243,51,תל אביב ,5000,תל אביב - יפו ,212 ,יציץ ,official ,212
109244,51,תל אביב ,5000,תל אביב - יפו ,213 ,גזית ,official ,213
109245,51,תל אביב ,5000,תל אביב - יפו ,215 ,רפידים ,official ,215
109246,51,תל אביב ,5000,תל אביב - יפו ,9700 ,רפודים ,synonym of 215 ,215
109247,51,תל אביב ,5000,תל אביב - יפו ,216 ,מגדל שרשן ,official ,216
109248,51,תל אביב ,5000,תל אביב - יפו ,9701 ,מגדל שורשן ,synonym of 216 ,216
109249,51,תל אביב ,5000,תל אביב - יפו ,217 ,תל ברוך ,official ,217
109250,51,תל אביב ,5000,תל אביב - יפו ,9702 ,גבעת אביב ,synonym of 217 ,217
109251,51,תל אביב ,5000,תל אביב - יפו ,218 ,אופיר ,official ,218
